MNEMONIC    DESCRIPTION

RPID        Report Identifier
WMOB        WMO Block Number
WMOS        WMO Station Number
SELV        Height of Station (m)
LAT         Latitude (Deg)
LON         Longitude (Deg)

YEAR        YEAR
MNTH        MONTH
DAY         DAY
HOUR        HOUR
MIN         MIN

PMSL        Pressure Reduced to mean sea level (Pa)
PRES        Pressure (Pa)
REHU        Relative Humidity (%)
SST1        Sea/Water Temperature (K)
TMDB        Temperature/Dry Bulb Temperature (K)
TMDP        Dew-Point Temperature (K)
WDIR        Wind Direction (Degree True)
WSPD        Wind Speed (m/s)
TP03        Total Precipitation past 3 hours (kg/m**2)
TP06        Total Precipitation past 6 hours (kg/m**2)
TP24        Total Precipitation past 24 hours (kg/m**2)

24PC        24-Hour Pressure Change (Pa)
3HPC        3-Hour Pressure Change (Pa)
HOVI        Horizontal Visibility (m)
TOCC        Total Cloud Cover (%)
CLTP        Cloud Type (see code table)
HOCB        Height of Base of cloud (m)


FOR MORE, SEE:

http://www.emc.ncep.noaa.gov/mmb/data_processing/bufrtab_tableb.htm             
